100,NEM12,202512221300,MDANAME,RETAILER
200,6305000004,E1,1,E1,N1,MET00004,KWH,15,
300,20251101,0.051,0.051,0.051,0.051,0.051,0.051,0.051,0.051,0.051,0.051,0.051,0.051,0.051,0.052,0.053,0.055,0.058,0.063,0.071,0.084,0.102,0.126,0.158,0.198,0.243,0.293,0.343,0.389,0.426,0.45,0.459,0.45,0.426,0.389,0.343,0.293,0.243,0.198,0.158,0.126,0.102,0.084,0.071,0.063,0.058,0.055,0.053,0.052,0.051,0.051,0.051,0.051,0.051,0.051,0.051,0.052,0.052,0.053,0.055,0.058,0.062,0.069,0.08,0.095,0.115,0.143,0.179,0.223,0.276,0.335,0.399,0.465,0.527,0.582,0.625,0.653,0.662,0.653,0.625,0.582,0.527,0.465,0.399,0.335,0.276,0.223,0.179,0.143,0.115,0.095,0.08,0.069,0.062,0.058,0.055,0.053,A,,
300,20251102,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.051,0.051,0.052,0.054,0.057,0.062,0.07,0.083,0.1,0.125,0.156,0.195,0.24,0.289,0.338,0.384,0.42,0.444,0.452,0.444,0.42,0.384,0.338,0.289,0.24,0.195,0.156,0.125,0.1,0.083,0.07,0.062,0.057,0.054,0.052,0.051,0.051,0.05,0.05,0.05,0.05,0.05,0.051,0.051,0.051,0.052,0.054,0.057,0.061,0.068,0.078,0.093,0.114,0.141,0.177,0.22,0.272,0.331,0.394,0.458,0.52,0.574,0.617,0.644,0.654,0.644,0.617,0.574,0.52,0.458,0.394,0.331,0.272,0.22,0.177,0.141,0.114,0.093,0.078,0.068,0.061,0.057,0.054,0.052,A,,
300,20251103,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.062,0.063,0.063,0.065,0.067,0.071,0.077,0.087,0.102,0.124,0.154,0.193,0.242,0.297,0.358,0.419,0.475,0.52,0.55,0.56,0.55,0.52,0.475,0.419,0.358,0.297,0.242,0.193,0.154,0.124,0.102,0.087,0.077,0.071,0.067,0.065,0.063,0.063,0.062,0.062,0.062,0.062,0.062,0.063,0.063,0.064,0.065,0.067,0.07,0.076,0.084,0.097,0.115,0.141,0.175,0.219,0.273,0.337,0.409,0.488,0.567,0.644,0.711,0.764,0.797,0.809,0.797,0.764,0.711,0.644,0.567,0.488,0.409,0.337,0.273,0.219,0.175,0.141,0.115,0.097,0.084,0.076,0.07,0.067,0.065,F,,
300,20251104,0.053,0.053,0.053,0.053,0.053,0.053,0.053,0.053,0.053,0.053,0.053,0.053,0.054,0.054,0.055,0.057,0.06,0.066,0.074,0.088,0.106,0.132,0.166,0.207,0.255,0.306,0.359,0.407,0.445,0.471,0.479,0.471,0.445,0.407,0.359,0.306,0.255,0.207,0.166,0.132,0.106,0.088,0.074,0.066,0.06,0.057,0.055,0.054,0.054,0.054,0.053,0.053,0.053,0.053,0.054,0.054,0.055,0.056,0.057,0.06,0.065,0.072,0.083,0.099,0.121,0.15,0.187,0.234,0.288,0.351,0.417,0.486,0.551,0.609,0.654,0.683,0.692,0.683,0.654,0.609,0.551,0.486,0.417,0.351,0.288,0.234,0.187,0.15,0.121,0.099,0.083,0.072,0.065,0.06,0.057,0.056,A,,
300,20251105,0.057,0.057,0.057,0.057,0.057,0.057,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.059,0.06,0.062,0.065,0.071,0.08,0.094,0.115,0.143,0.179,0.223,0.275,0.331,0.387,0.439,0.481,0.508,0.517,0.508,0.481,0.439,0.387,0.331,0.275,0.223,0.179,0.143,0.115,0.094,0.08,0.071,0.065,0.062,0.06,0.059,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.059,0.06,0.062,0.065,0.07,0.078,0.09,0.107,0.13,0.162,0.202,0.252,0.311,0.378,0.451,0.524,0.595,0.657,0.706,0.737,0.747,0.737,0.706,0.657,0.595,0.524,0.451,0.378,0.311,0.252,0.202,0.162,0.13,0.107,0.09,0.078,0.07,0.065,0.062,0.06,A,,
300,20251106,0.056,0.056,0.056,0.056,0.056,0.056,0.056,0.056,0.056,0.056,0.057,0.057,0.057,0.058,0.059,0.061,0.064,0.07,0.079,0.093,0.113,0.14,0.175,0.219,0.27,0.324,0.38,0.431,0.472,0.498,0.508,0.498,0.472,0.431,0.38,0.324,0.27,0.219,0.175,0.14,0.113,0.093,0.079,0.07,0.064,0.061,0.059,0.058,0.057,0.057,0.057,0.056,0.057,0.057,0.057,0.057,0.058,0.059,0.061,0.064,0.069,0.077,0.088,0.105,0.128,0.159,0.198,0.247,0.305,0.371,0.442,0.514,0.584,0.645,0.692,0.723,0.733,0.723,0.692,0.645,0.584,0.514,0.442,0.371,0.305,0.247,0.198,0.159,0.128,0.105,0.088,0.077,0.069,0.064,0.061,0.059,A,,
300,20251107,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.044,0.044,0.045,0.046,0.049,0.053,0.06,0.071,0.086,0.107,0.134,0.168,0.206,0.249,0.291,0.33,0.361,0.382,0.389,0.382,0.361,0.33,0.291,0.249,0.206,0.168,0.134,0.107,0.086,0.071,0.06,0.053,0.049,0.046,0.045,0.044,0.044,0.043,0.043,0.043,0.043,0.043,0.043,0.044,0.044,0.045,0.046,0.049,0.053,0.059,0.067,0.08,0.098,0.121,0.152,0.189,0.234,0.284,0.339,0.394,0.447,0.494,0.53,0.554,0.562,0.554,0.53,0.494,0.447,0.394,0.339,0.284,0.234,0.189,0.152,0.121,0.098,0.08,0.067,0.059,0.053,0.049,0.046,0.045,A,,
300,20251108,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.064,0.065,0.067,0.071,0.078,0.088,0.103,0.125,0.155,0.195,0.243,0.3,0.361,0.422,0.478,0.524,0.554,0.564,0.554,0.524,0.478,0.422,0.361,0.3,0.243,0.195,0.155,0.125,0.103,0.088,0.078,0.071,0.067,0.065,0.064,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.063,0.064,0.065,0.067,0.071,0.076,0.085,0.098,0.116,0.142,0.176,0.22,0.275,0.339,0.412,0.491,0.572,0.648,0.716,0.769,0.803,0.815,0.803,0.769,0.716,0.648,0.572,0.491,0.412,0.339,0.275,0.22,0.176,0.142,0.116,0.098,0.085,0.076,0.071,0.067,0.065,A,,
300,20251109,0.059,0.059,0.059,0.059,0.059,0.059,0.059,0.059,0.059,0.059,0.059,0.06,0.06,0.06,0.062,0.064,0.067,0.073,0.083,0.097,0.118,0.147,0.184,0.23,0.283,0.341,0.399,0.453,0.496,0.524,0.534,0.524,0.496,0.453,0.399,0.341,0.283,0.23,0.184,0.147,0.118,0.097,0.083,0.073,0.067,0.064,0.062,0.06,0.06,0.06,0.059,0.059,0.059,0.059,0.06,0.06,0.061,0.062,0.064,0.067,0.072,0.08,0.093,0.11,0.134,0.167,0.208,0.26,0.321,0.39,0.465,0.541,0.614,0.678,0.728,0.76,0.771,0.76,0.728,0.678,0.614,0.541,0.465,0.39,0.321,0.26,0.208,0.167,0.134,0.11,0.093,0.08,0.072,0.067,0.064,0.062,F,,
300,20251110,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.053,0.053,0.053,0.054,0.056,0.059,0.065,0.073,0.086,0.104,0.13,0.163,0.203,0.25,0.301,0.352,0.399,0.437,0.462,0.471,0.462,0.437,0.399,0.352,0.301,0.25,0.203,0.163,0.13,0.104,0.086,0.073,0.065,0.059,0.056,0.054,0.053,0.053,0.053,0.052,0.052,0.052,0.052,0.053,0.053,0.054,0.055,0.056,0.059,0.064,0.071,0.082,0.097,0.118,0.147,0.184,0.229,0.283,0.344,0.41,0.477,0.541,0.598,0.642,0.67,0.68,0.67,0.642,0.598,0.541,0.477,0.41,0.344,0.283,0.229,0.184,0.147,0.118,0.097,0.082,0.071,0.064,0.059,0.056,0.055,A,,
