100,NEM12,202512221300,MDANAME,RETAILER
200,630500000,E1,1,E1,N1,MET00007,KWH,30,
300,20251101,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.047,0.052,0.064,0.091,0.142,0.218,0.307,0.381,0.41,0.381,0.307,0.218,0.142,0.091,0.064,0.052,0.047,0.046,0.046,0.046,0.046,0.047,0.049,0.056,0.071,0.103,0.16,0.247,0.357,0.472,0.56,0.593,0.56,0.472,0.357,0.247,0.16,0.103,0.071,0.056,0.049,A,,
300,20251102,0.06,0.06,0.06,0.06,0.06,0.06,0.061,0.062,0.068,0.084,0.12,0.187,0.287,0.404,0.502,0.54,0.502,0.404,0.287,0.187,0.12,0.084,0.068,0.062,0.061,0.06,0.06,0.06,0.061,0.065,0.073,0.094,0.136,0.211,0.325,0.471,0.621,0.737,0.781,0.737,0.621,0.471,0.325,0.211,0.136,0.094,0.073,0.065,E,,
300,20251103,0.06,0.06,0.06,0.06,0.06,0.06,0.061,0.062,0.068,0.084,0.12,0.187,0.287,0.405,0.502,0.541,0.502,0.405,0.287,0.187,0.12,0.084,0.068,0.062,0.061,0.06,0.06,0.06,0.061,0.065,0.073,0.094,0.136,0.211,0.325,0.471,0.622,0.737,0.781,0.737,0.622,0.471,0.325,0.211,0.136,0.094,0.073,0.065,A,,
300,20251104,0.035,0.035,0.035,0.035,0.035,0.035,0.036,0.037,0.04,0.049,0.071,0.11,0.169,0.238,0.296,0.318,0.296,0.238,0.169,0.11,0.071,0.049,0.04,0.037,0.036,0.035,0.035,0.036,0.036,0.038,0.043,0.055,0.08,0.124,0.192,0.277,0.366,0.434,0.46,0.434,0.366,0.277,0.192,0.124,0.08,0.055,0.043,0.038,A,,
300,20251105,0.038,0.038,0.038,0.038,0.038,0.038,0.039,0.04,0.043,0.053,0.076,0.119,0.183,0.257,0.319,0.344,-0.319,0.257,0.183,0.119,0.076,0.053,0.043,0.04,0.039,0.038,0.038,0.038,0.039,0.041,0.047,0.06,0.087,0.134,0.207,0.299,0.395,0.469,0.497,0.469,0.395,0.299,0.207,0.134,0.087,0.06,0.047,0.041,E,,
300,20251106,0.064,0.064,0.064,0.064,0.064,0.064,0.065,0.067,0.073,0.09,0.128,0.2,0.307,0.433,0.537,0.578,0.537,0.433,0.307,0.2,0.128,0.09,0.073,0.067,0.065,0.064,0.064,0.065,0.066,0.069,0.078,0.1,0.146,0.226,0.348,0.504,0.665,0.789,0.836,0.789,0.665,0.504,0.348,0.226,0.146,0.1,0.078,0.069,A,,
300,20251107,0.053,0.053,0.053,0.053,0.053,0.053,0.054,0.055,0.06,0.074,0.106,0.165,0.253,0.357,0.443,0.477,0.443,0.357,0.253,0.165,0.106,0.074,0.06,0.055,0.054,0.053,0.053,0.053,0.054,0.057,0.065,0.083,0.12,0.186,0.287,0.416,0.549,0.651,0.69,0.651,0.549,0.416,0.287,0.186,0.12,0.083,0.065,0.057,F,,
300,20251108,0.063,0.063,0.063,0.063,0.063,0.063,0.064,0.066,0.072,0.088,0.126,0.197,0.302,0.426,0.529,0.569,0.529,0.426,0.302,0.197,0.126,0.088,0.072,0.066,0.064,0.063,0.063,0.064,0.065,0.068,0.077,0.099,0.143,0.222,0.343,0.496,0.654,0.776,0.822,0.776,0.654,0.496,0.343,0.222,0.143,0.099,0.077,0.068,F,,
300,20251109,0.044,0.044,0.044,0.044,0.044,0.045,0.045,0.046,0.05,0.062,0.089,0.138,0.212,0.299,0.371,0.4,0.371,0.299,0.212,0.138,0.089,0.062,0.05,0.046,0.045,0.045,0.045,0.045,0.045,0.048,0.054,0.069,0.101,0.156,0.241,0.348,0.46,0.545,0.578,0.545,0.46,0.348,0.241,0.156,0.101,0.069,0.054,0.048,A,,
300,20251110,0.051,0.051,0.051,0.051,0.051,0.051,0.052,0.053,0.058,0.071,0.102,0.159,0.244,0.344,0.427,0.46,0.427,0.344,0.244,0.159,0.102,0.071,0.058,0.053,0.052,0.051,0.051,0.051,0.052,0.055,0.062,0.08,0.116,0.18,0.277,0.401,0.529,0.628,0.665,0.628,0.529,0.401,0.277,0.18,0.116,0.08,0.062,0.055,E,,
300,20251111,0.054,0.054,0.054,0.054,0.054,0.054,0.055,0.056,0.062,0.076,0.108,0.169,0.259,0.365,0.453,0.488,0.453,0.365,0.259,0.169,0.108,0.076,0.062,0.056,0.055,0.054,0.054,0.055,0.055,0.058,0.066,0.085,0.123,0.191,0.294,0.425,0.561,0.666,0.705,0.666,0.561,0.425,0.294,0.191,0.123,0.085,0.066,0.058,A,,
300,20251112,0.061,0.061,0.061,0.061,0.061,0.061,0.062,0.064,0.07,0.086,0.123,0.191,0.293,0.413,0.513,0.552,0.513,0.413,0.293,0.191,0.123,0.086,0.07,0.064,0.062,0.062,0.061,0.062,0.063,0.066,0.075,0.096,0.139,0.216,0.332,0.481,0.635,0.753,0.798,0.753,0.635,0.481,0.332,0.216,0.139,0.096,0.075,0.066,A,,
